""	"Rank"	"Title"	"Description"	"Runtime"	"Genre"	"Rating"	"Metascore"	"Votes"	"Gross_Earning_in_Mil"	"Director"	"Actor"
"76"	76	"The Shallows"	"   A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills."	86	"Drama"	6.3	59	101474	55.12	"Jaume Collet-Serra"	"Blake Lively"
"77"	77	"Assassin's Creed"	"   Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society."	115	"Action"	5.8	36	158093	54.65	"Justin Kurzel"	"Michael Fassbender"
"78"	78	"The Lost City of Z"	"   A true-life drama, centering on British explorer Col. Percival Fawcett, who disappeared whilst searching for a mysterious city in the Amazon in the 1920s."	141	"Adventure"	6.6	78	61491	8.58	"James Gray"	"Charlie Hunnam"
"79"	79	"The Autopsy of Jane Doe"	"   A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets."	86	"Horror"	6.8	65	66249	NA	"André Øvredal"	"Brian Cox"
"80"	80	"Resident Evil: The Final Chapter"	"   Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse."	107	"Action"	5.6	49	69938	26.83	"Paul W.S. Anderson"	"Milla Jovovich"
"81"	81	"Grave"	"   An innocent teenager, studying to be a vet, develops a craving for human flesh."	99	"Drama"	7	81	44936	0.51	"Julia Ducournau"	"Garance Marillier"
"82"	82	"Nerve"	"   A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of \"watchers.\""	96	"Action"	6.6	58	96938	38.56	"Henry Joost"	"Emma Roberts"
"83"	83	"Gold"	"   Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia."	120	"Adventure"	6.7	49	47013	7.22	"Stephen Gaghan"	"Matthew McConaughey"
"84"	84	"London Has Fallen"	"   In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders."	99	"Action"	5.9	28	118822	62.68	"Babak Najafi"	"Gerard Butler"
"85"	85	"Deepwater Horizon"	"   A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history."	107	"Action"	7.1	68	125806	61.28	"Peter Berg"	"Mark Wahlberg"
"86"	86	"The Great Wall"	"   European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures."	103	"Action"	6	42	103651	45.54	"Yimou Zhang"	"Matt Damon"
"87"	87	"The Huntsman: Winter's War"	"   Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna."	114	"Action"	6.1	35	82582	48.39	"Cedric Nicolas-Troyan"	"Chris Hemsworth"
"88"	88	"The Edge of Seventeen"	"   High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother."	104	"Comedy"	7.4	77	78012	14.26	"Kelly Fremon Craig"	"Hailee Steinfeld"
"89"	89	"Central Intelligence"	"   After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage."	107	"Action"	6.3	52	127567	127.4	"Rawson Marshall Thurber"	"Dwayne Johnson"
